364.6393	91.7547	2589.9354
317.1102	90.1112	2569.9068
269.1095	89.9885	2557.0546
220.5052	88.3141	2545.1891
171.0437	86.9480	2536.8937
124.7006	85.6802	2516.0662
74.9141	85.0234	2509.7386
28.5326	83.7698	2488.1819
-21.5148	83.2036	2483.0808
-68.1733	81.7517	2463.3462
365.3218	42.0486	2589.2746
318.0435	40.9132	2571.6452
269.9417	39.1335	2556.7829
221.1529	38.4984	2546.1920
173.8881	37.0883	2530.7716
123.7248	36.1644	2522.7311
77.9928	35.0778	2500.7280
27.6156	34.1992	2497.0809
-18.6382	32.9934	2475.2927
-67.2345	32.6242	2463.7399
367.0115	-8.0041	2587.0568
318.6568	-9.3020	2573.3579
270.5416	-10.0853	2559.8178
222.0575	-10.7778	2548.4689
174.6218	-11.9762	2531.9616
125.9667	-13.3054	2520.5331
77.8299	-14.5044	2505.7125
30.3821	-15.6973	2490.2998
-19.1259	-16.9252	2481.4749
-66.0323	-17.9599	2463.9691
367.9301	-58.2378	2584.8312
320.3421	-58.5137	2572.1015
272.1362	-60.4846	2556.8900
222.9166	-61.6878	2549.4057
175.9346	-62.3183	2528.8884
126.1717	-63.7501	2521.1782
79.7414	-64.5586	2501.2242
31.1713	-64.9210	2490.5926
-16.8737	-66.3461	2475.7191
-65.3816	-67.2207	2465.1467
368.8737	-108.2213	2587.9118
321.0911	-108.8024	2572.7597
272.3783	-110.4480	2563.0816
224.6954	-110.8269	2544.3322
175.8470	-112.5700	2535.1582
128.9106	-113.1363	2514.4253
78.9926	-114.5940	2508.9755
32.4486	-115.3337	2489.3140
-17.3827	-116.7109	2481.9926
-64.5689	-117.0122	2465.2890
370.3474	-157.9710	2583.1675
321.7716	-159.3139	2576.6499
274.4814	-159.8302	2554.2366
225.8799	-160.5358	2544.1297
178.3728	-161.8331	2526.8634
129.5872	-162.5333	2517.7452
81.9503	-163.9615	2502.1241
32.0112	-165.5292	2496.1772
-14.5240	-166.1301	2476.4568
-63.5151	-166.9794	2466.5291
370.9568	-208.2240	2588.8983
322.7542	-208.3387	2574.2117
274.4221	-210.4485	2563.9402
227.2228	-210.8071	2541.8954
177.8808	-212.5893	2535.1011
130.8524	-212.8106	2515.5902
81.2328	-214.4277	2509.4997
34.6712	-214.7822	2488.3714
-15.1485	-216.6615	2481.6302
-61.3155	-216.8253	2460.2578
